Date,Category,Amount,Description
2024-10-01,Food,45.50,Grocery shopping at Walmart
2024-10-02,Transport,25.00,Uber to work
2024-10-03,Food,78.30,Dinner at Italian restaurant
2024-10-04,Shopping,120.00,New shoes
2024-10-05,Bills,85.00,Internet bill
2024-10-06,Food,52.40,Lunch and coffee
2024-10-08,Entertainment,35.00,Movie tickets
2024-10-09,Transport,30.00,Gas for car
2024-10-10,Food,95.20,Weekly groceries
2024-10-12,Healthcare,150.00,Doctor visit
2024-10-14,Shopping,250.00,Winter jacket
2024-10-15,Food,42.80,Restaurant lunch
2024-10-16,Transport,20.00,Bus pass
2024-10-17,Bills,120.00,Electricity bill
2024-10-18,Food,68.90,Groceries and snacks
2024-10-19,Entertainment,45.00,Concert tickets
2024-10-20,Food,38.50,Takeout dinner
2024-10-21,Shopping,180.00,Electronics
2024-10-22,Transport,28.00,Taxi ride
2024-10-23,Food,55.60,Brunch with friends
